Data;Municipio;Gênero do Indiciado;Idade do Indiciado;Relacionamento
11/05/2021;Frecheirinha;Masculino;39;NÃO INFORMADO
13/05/2021;Mauriti;Masculino;29;NÃO INFORMADO
15/05/2021;Farias Brito;Masculino;20;NÃO INFORMADO
18/05/2021;Tianguá;Masculino;52;NÃO INFORMADO
20/05/2021;Fortaleza;Masculino;34;NÃO INFORMADO
20/05/2021;Quixadá;Feminino;28;NÃO INFORMADO
20/05/2021;Fortaleza;Masculino;40;NÃO INFORMADO
21/05/2021;Fortaleza;Masculino;38;NÃO INFORMADO
22/05/2021;Marco;Masculino;35;NÃO INFORMADO
26/05/2021;Senador Pompeu;Masculino;26;NÃO INFORMADO
27/05/2021;Milagres;Masculino;40;NÃO INFORMADO
28/05/2021;Tianguá;Não identificado;33;NÃO INFORMADO
29/05/2021;Crateús;Masculino;42;NÃO INFORMADO
30/05/2021;Tianguá;Masculino;24;NÃO INFORMADO
30/05/2021;Tianguá;Masculino;34;NÃO INFORMADO
30/05/2021;Tianguá;Masculino;24;NÃO INFORMADO
30/05/2021;Tianguá;Masculino;34;NÃO INFORMADO
30/05/2021;Tianguá;Masculino;24;NÃO INFORMADO
30/05/2021;Tianguá;Masculino;34;NÃO INFORMADO
01/06/2021;Coreaú;Masculino;20;NÃO INFORMADO
02/06/2021;Fortaleza;Feminino;28;NÃO INFORMADO
03/06/2021;Fortaleza;Feminino;25;NÃO INFORMADO
03/06/2021;Fortaleza;Feminino;25;NÃO INFORMADO
04/06/2021;Meruoca;Masculino;46;NÃO INFORMADO
05/06/2021;Guaramiranga;Masculino;67;NÃO INFORMADO
12/06/2021;Tianguá;Feminino;33;NÃO INFORMADO
12/06/2021;Tianguá;Feminino;33;NÃO INFORMADO
12/06/2021;Tianguá;Feminino;33;NÃO INFORMADO
12/06/2021;Fortaleza;Feminino;28;NÃO INFORMADO
13/06/2021;Itapipoca;Masculino;34;NÃO INFORMADO
14/06/2021;Barroquinha;Masculino;33;NÃO INFORMADO
14/06/2021;Marco;Masculino;Não Informada;NÃO INFORMADO
16/06/2021;Ibaretama;Masculino;15;NÃO INFORMADO
16/06/2021;Ibaretama;Masculino;15;NÃO INFORMADO
16/06/2021;Ibaretama;Masculino;15;NÃO INFORMADO
16/06/2021;Ibaretama;Masculino;15;NÃO INFORMADO
17/06/2021;Alto Santo;Masculino;42;NÃO INFORMADO
17/06/2021;Fortaleza;Masculino;21;NÃO INFORMADO
17/06/2021;Aurora;Masculino;34;NÃO INFORMADO
18/06/2021;Alto Santo;Masculino;21;NÃO INFORMADO
18/06/2021;Alto Santo;Masculino;21;NÃO INFORMADO
19/06/2021;Bela Cruz;Masculino;34;NÃO INFORMADO
20/06/2021;Viçosa do Ceará;Masculino;23;NÃO INFORMADO
20/06/2021;Viçosa do Ceará;Masculino;23;NÃO INFORMADO
20/06/2021;Crato;Masculino;27;NÃO INFORMADO
22/06/2021;Uruoca;Masculino;51;NÃO INFORMADO
23/06/2021;Quixadá;Masculino;41;NÃO INFORMADO
24/06/2021;Fortaleza;Masculino;25;NÃO INFORMADO
26/06/2021;Fortaleza;Feminino;63;NÃO INFORMADO
26/06/2021;Fortaleza;Feminino;63;NÃO INFORMADO
26/06/2021;Caucaia;Masculino;40;NÃO INFORMADO
28/06/2021;Aquiraz;Masculino;50;NÃO INFORMADO
01/07/2021;Paraipaba;Feminino;39;NÃO INFORMADO
01/07/2021;Paraipaba;Feminino;39;NÃO INFORMADO
01/07/2021;Acopiara;Masculino;51;NÃO INFORMADO
02/07/2021;Barbalha;Masculino;34;NÃO INFORMADO
02/07/2021;Ipu;Masculino;57;NÃO INFORMADO
02/07/2021;Ipu;Masculino;52;NÃO INFORMADO
03/07/2021;Viçosa do Ceará;Masculino;36;NÃO INFORMADO
03/07/2021;Fortaleza;Masculino;69;NÃO INFORMADO
04/07/2021;Ubajara;Masculino;25;NÃO INFORMADO
04/07/2021;Tianguá;Masculino;48;NÃO INFORMADO
06/07/2021;Fortaleza;Masculino;30;NÃO INFORMADO
07/07/2021;Fortaleza;Masculino;41;NÃO INFORMADO
08/07/2021;São Gonçalo do Amarante;Masculino;29;NÃO INFORMADO
08/07/2021;Fortaleza;Masculino;42;NÃO INFORMADO
09/07/2021;Monsenhor Tabosa;Masculino;29;OUTROS
10/07/2021;Cariré;Masculino;58;NÃO INFORMADO
10/07/2021;Cariré;Masculino;58;NÃO INFORMADO
13/07/2021;Alto Santo;Masculino;18;NÃO INFORMADO
16/07/2021;Palhano;Masculino;41;NÃO INFORMADO
16/07/2021;Tianguá;Masculino;32;NÃO INFORMADO
16/07/2021;Sobral;Masculino;41;NÃO INFORMADO
19/07/2021;Tianguá;Masculino;19;NÃO INFORMADO
20/07/2021;Fortaleza;Masculino;42;NÃO INFORMADO
21/07/2021;Itapipoca;Masculino;53;NÃO INFORMADO
22/07/2021;Fortaleza;Masculino;26;FILHO(A)
22/07/2021;Caucaia;Masculino;32;NÃO INFORMADO
24/07/2021;Mombaça;Masculino;34;NÃO INFORMADO
25/07/2021;Jaguaribe;Masculino;26;CONJUGE/COMPANHEIRO
25/07/2021;Sobral;Masculino;26;NÃO INFORMADO
27/07/2021;Itapipoca;Masculino;34;OUTROS
28/07/2021;Novo Oriente;Masculino;64;CONJUGE/COMPANHEIRO
30/07/2021;Pedra Branca;Masculino;22;NÃO INFORMADO
30/07/2021;Fortaleza;Masculino;31;NÃO INFORMADO
31/07/2021;Fortaleza;Masculino;74;NÃO INFORMADO
02/08/2021;Fortaleza;Masculino;24;NÃO INFORMADO
04/08/2021;Mauriti;Masculino;62;NÃO INFORMADO
04/08/2021;Fortaleza;Masculino;33;NÃO INFORMADO
04/08/2021;Crato;Masculino;65;NÃO INFORMADO
06/08/2021;Frecheirinha;Masculino;Não Informada;NÃO INFORMADO
07/08/2021;Caucaia;Masculino;66;NÃO INFORMADO
07/08/2021;Fortaleza;Masculino;40;NÃO INFORMADO
08/08/2021;Uruburetama;Feminino;30;NÃO INFORMADO
08/08/2021;Uruburetama;Feminino;30;NÃO INFORMADO
10/08/2021;Crato;Feminino;49;NÃO INFORMADO
14/08/2021;Tianguá;Masculino;23;CONJUGE/COMPANHEIRO
14/08/2021;São Gonçalo do Amarante;Masculino;33;NÃO INFORMADO
16/08/2021;Tianguá;Masculino;35;CONJUGE/COMPANHEIRO
16/08/2021;Aiuaba;Masculino;40;NÃO INFORMADO
16/08/2021;Tianguá;Masculino;27;NÃO INFORMADO
17/08/2021;Camocim;Masculino;29;NÃO INFORMADO
18/08/2021;Alto Santo;Masculino;35;CONJUGE/COMPANHEIRO
20/08/2021;Catarina;Masculino;41;NÃO INFORMADO
20/08/2021;Catarina;Masculino;41;NÃO INFORMADO
21/08/2021;Fortaleza;Masculino;45;NÃO INFORMADO
21/08/2021;Fortaleza;Masculino;44;NÃO INFORMADO
22/08/2021;Carnaubal;Masculino;40;NÃO INFORMADO
22/08/2021;Várzea Alegre;Masculino;34;NÃO INFORMADO
23/08/2021;São Benedito;Masculino;40;NÃO INFORMADO
24/08/2021;Ipu;Masculino;28;NÃO INFORMADO
24/08/2021;Fortaleza;Masculino;48;NÃO INFORMADO
25/08/2021;Maracanaú;Masculino;54;NÃO INFORMADO
25/08/2021;Maracanaú;Masculino;Não Informada;NÃO INFORMADO
25/08/2021;Jaguaribe;Masculino;29;NÃO INFORMADO
26/08/2021;Caucaia;Masculino;45;NÃO INFORMADO
27/08/2021;Fortaleza;Masculino;67;NÃO INFORMADO
27/08/2021;Fortaleza;Masculino;61;NÃO INFORMADO
28/08/2021;Fortaleza;Masculino;39;NÃO INFORMADO
29/08/2021;Independência;Masculino;45;CONJUGE/COMPANHEIRO
29/08/2021;Itapipoca;Masculino;40;NÃO INFORMADO
30/08/2021;Aracati;Masculino;38;NÃO INFORMADO
31/08/2021;Juazeiro do Norte;Masculino;36;NÃO INFORMADO
01/09/2021;Abaiara;Masculino;62;NÃO INFORMADO
03/09/2021;Crato;Feminino;23;NÃO INFORMADO
03/09/2021;Tianguá;Masculino;28;NÃO INFORMADO
04/09/2021;Tianguá;Masculino;40;CONJUGE/COMPANHEIRO
04/09/2021;São Benedito;Masculino;24;NÃO INFORMADO
04/09/2021;Viçosa do Ceará;Masculino;32;NÃO INFORMADO
05/09/2021;Farias Brito;Feminino;36;NÃO INFORMADO
05/09/2021;Farias Brito;Feminino;36;NÃO INFORMADO
05/09/2021;Solonópole;Masculino;70;NÃO INFORMADO
05/09/2021;Solonópole;Masculino;70;NÃO INFORMADO
05/09/2021;Milagres;Masculino;20;NÃO INFORMADO
06/09/2021;Juazeiro do Norte;Masculino;38;NÃO INFORMADO
08/09/2021;Russas;Masculino;45;CONJUGE/COMPANHEIRO
09/09/2021;Beberibe;Masculino;47;NÃO INFORMADO
09/09/2021;Beberibe;Masculino;47;NÃO INFORMADO
10/09/2021;Fortaleza;Masculino;51;NÃO INFORMADO
12/09/2021;Fortaleza;Masculino;48;NAMORADO(A)
12/09/2021;Carnaubal;Masculino;24;NÃO INFORMADO
14/09/2021;Marco;Masculino;41;NÃO INFORMADO
14/09/2021;Fortaleza;Masculino;31;NÃO INFORMADO
14/09/2021;Fortaleza;Masculino;31;NÃO INFORMADO
15/09/2021;Alto Santo;Masculino;Não Informada;NÃO INFORMADO
16/09/2021;Uruburetama;Masculino;37;NÃO INFORMADO
18/09/2021;Fortaleza;Masculino;30;NÃO INFORMADO
18/09/2021;Fortaleza;Masculino;30;NÃO INFORMADO
18/09/2021;Ipu;Masculino;40;NÃO INFORMADO
20/09/2021;São Benedito;Masculino;38;NÃO INFORMADO
20/09/2021;São Benedito;Masculino;38;NÃO INFORMADO
20/09/2021;Maranguape;Masculino;47;NÃO INFORMADO
22/09/2021;Quixadá;Masculino;27;CONJUGE/COMPANHEIRO
22/09/2021;Moraújo;Masculino;29;NÃO INFORMADO
23/09/2021;Independência;Masculino;31;CONJUGE/COMPANHEIRO
23/09/2021;Coreaú;Feminino;25;NÃO INFORMADO
24/09/2021;Altaneira;Feminino;28;NÃO INFORMADO
25/09/2021;Crato;Masculino;40;NÃO INFORMADO
25/09/2021;Crato;Masculino;40;NÃO INFORMADO
27/09/2021;Tianguá;Masculino;40;NÃO INFORMADO
27/09/2021;Tianguá;Masculino;40;NÃO INFORMADO
28/09/2021;Carnaubal;Masculino;42;NÃO INFORMADO
28/09/2021;Carnaubal;Masculino;42;NÃO INFORMADO
29/09/2021;Itapipoca;Masculino;30;NÃO INFORMADO
01/10/2021;Fortaleza;Masculino;27;NÃO INFORMADO
03/10/2021;Irauçuba;Masculino;32;NÃO INFORMADO
06/10/2021;Fortaleza;Masculino;43;NÃO INFORMADO
06/10/2021;Fortaleza;Masculino;46;NÃO INFORMADO
07/10/2021;Tianguá;Masculino;24;NÃO INFORMADO
10/10/2021;Horizonte;Masculino;38;NÃO INFORMADO
10/10/2021;Horizonte;Masculino;38;NÃO INFORMADO
11/10/2021;Jaguaribe;Masculino;34;NÃO INFORMADO
13/10/2021;Fortaleza;Feminino;44;NÃO INFORMADO
13/10/2021;Jaguaribara;Masculino;50;NÃO INFORMADO
13/10/2021;Tianguá;Masculino;30;NÃO INFORMADO
13/10/2021;Tianguá;Masculino;30;NÃO INFORMADO
13/10/2021;Senador Pompeu;Masculino;34;NÃO INFORMADO
13/10/2021;Senador Pompeu;Masculino;34;NÃO INFORMADO
13/10/2021;Senador Pompeu;Masculino;34;NÃO INFORMADO
14/10/2021;Fortaleza;Masculino;36;NÃO INFORMADO
16/10/2021;Fortaleza;Masculino;38;NÃO INFORMADO
16/10/2021;Caucaia;Masculino;57;NÃO INFORMADO
17/10/2021;Fortaleza;Masculino;51;NÃO INFORMADO
18/10/2021;Fortaleza;Masculino;39;NÃO INFORMADO
18/10/2021;Fortaleza;Masculino;40;NÃO INFORMADO
18/10/2021;Crateús;Masculino;45;NÃO INFORMADO
19/10/2021;Crateús;Masculino;31;NÃO INFORMADO
19/10/2021;Fortaleza;Feminino;Não Informada;NÃO INFORMADO
19/10/2021;Maracanaú;Masculino;36;NÃO INFORMADO
20/10/2021;Frecheirinha;Masculino;43;NÃO INFORMADO
20/10/2021;Ibiapina;Masculino;41;NÃO INFORMADO
25/10/2021;Iguatu;Feminino;30;NÃO INFORMADO
25/10/2021;Aracati;Feminino;37;NÃO INFORMADO
27/10/2021;Crato;Masculino;32;NÃO INFORMADO
27/10/2021;Tianguá;Masculino;39;NÃO INFORMADO
28/10/2021;Fortaleza;Masculino;61;NÃO INFORMADO
29/10/2021;Maranguape;Masculino;31;NÃO INFORMADO
31/10/2021;Uruoca;Masculino;23;OUTROS
31/10/2021;Ipaumirim;Masculino;27;NÃO INFORMADO
05/11/2021;Fortaleza;Masculino;25;NÃO INFORMADO
06/11/2021;Russas;Feminino;37;CONJUGE/COMPANHEIRO
06/11/2021;Tianguá;Masculino;48;NÃO INFORMADO
07/11/2021;Jaguaribe;Masculino;30;NÃO INFORMADO
07/11/2021;Santana do Cariri;Feminino;27;NÃO INFORMADO
07/11/2021;Santana do Cariri;Feminino;27;NÃO INFORMADO
08/11/2021;Lavras da Mangabeira;Masculino;54;NÃO INFORMADO
09/11/2021;Tabuleiro do Norte;Masculino;51;NÃO INFORMADO
10/11/2021;Sobral;Masculino;39;OUTROS
10/11/2021;Sobral;Não identificado;32;NÃO INFORMADO
10/11/2021;Pindoretama;Masculino;32;NÃO INFORMADO
11/11/2021;Maranguape;Masculino;44;NÃO INFORMADO
13/11/2021;Ibiapina;Masculino;23;NÃO INFORMADO
16/11/2021;Caucaia;Masculino;47;NÃO INFORMADO
17/11/2021;Fortaleza;Masculino;34;NÃO INFORMADO
18/11/2021;Mucambo;Masculino;24;NÃO INFORMADO
18/11/2021;Itapajé;Feminino;28;NÃO INFORMADO
18/11/2021;Fortaleza;Masculino;43;NÃO INFORMADO
19/11/2021;Ipu;Masculino;40;NÃO INFORMADO
20/11/2021;Ararendá;Masculino;53;NÃO INFORMADO
21/11/2021;Fortaleza;Masculino;34;CONJUGE/COMPANHEIRO
21/11/2021;Mauriti;Masculino;41;CONJUGE/COMPANHEIRO
21/11/2021;Uruburetama;Masculino;29;NÃO INFORMADO
21/11/2021;Uruburetama;Masculino;29;NÃO INFORMADO
21/11/2021;Aquiraz;Masculino;35;NÃO INFORMADO
21/11/2021;Tianguá;Masculino;Não Informada;NÃO INFORMADO
21/11/2021;Tianguá;Masculino;21;NÃO INFORMADO
22/11/2021;São Gonçalo do Amarante;Masculino;38;NÃO INFORMADO
23/11/2021;Viçosa do Ceará;Masculino;31;NÃO INFORMADO
23/11/2021;Fortaleza;Feminino;42;NÃO INFORMADO
24/11/2021;Baturité;Masculino;42;NÃO INFORMADO
24/11/2021;Jaguaribe;Feminino;19;NÃO INFORMADO
24/11/2021;Jaguaribe;Feminino;47;NÃO INFORMADO
24/11/2021;Jaguaribe;Feminino;19;NÃO INFORMADO
24/11/2021;Jaguaribe;Feminino;19;NÃO INFORMADO
24/11/2021;Jaguaribe;Feminino;47;NÃO INFORMADO
24/11/2021;Jaguaribe;Feminino;19;NÃO INFORMADO
24/11/2021;Jaguaribe;Feminino;47;NÃO INFORMADO
24/11/2021;Jaguaribe;Feminino;47;NÃO INFORMADO
27/11/2021;Ipaumirim;Masculino;37;NÃO INFORMADO
28/11/2021;Tauá;Masculino;32;NÃO INFORMADO
28/11/2021;Brejo Santo;Feminino;34;NÃO INFORMADO
28/11/2021;Brejo Santo;Masculino;34;NÃO INFORMADO
28/11/2021;Brejo Santo;Feminino;34;NÃO INFORMADO
28/11/2021;Brejo Santo;Masculino;34;NÃO INFORMADO
28/11/2021;Brejo Santo;Feminino;34;NÃO INFORMADO
28/11/2021;Brejo Santo;Masculino;34;NÃO INFORMADO
28/11/2021;Pereiro;Masculino;44;NÃO INFORMADO
28/11/2021;Itaitinga;Masculino;38;NÃO INFORMADO
29/11/2021;Russas;Masculino;51;NÃO INFORMADO
30/11/2021;Quixadá;Masculino;Não Informada;CONJUGE/COMPANHEIRO
30/11/2021;Maracanaú;Masculino;19;NÃO INFORMADO
01/12/2021;Fortaleza;Feminino;31;NÃO INFORMADO
01/12/2021;Fortaleza;Feminino;31;NÃO INFORMADO
02/12/2021;Fortaleza;Feminino;38;NÃO INFORMADO
03/12/2021;Pacajus;Masculino;21;NÃO INFORMADO
03/12/2021;Pindoretama;Masculino;54;NÃO INFORMADO
03/12/2021;Sobral;Masculino;22;NÃO INFORMADO
03/12/2021;Carnaubal;Masculino;36;NÃO INFORMADO
03/12/2021;Caucaia;Masculino;56;NÃO INFORMADO
04/12/2021;Fortaleza;Masculino;34;NÃO INFORMADO
04/12/2021;Fortaleza;Masculino;43;NÃO INFORMADO
04/12/2021;Itapipoca;Masculino;39;NÃO INFORMADO
05/12/2021;Maracanaú;Masculino;31;NÃO INFORMADO
05/12/2021;Fortaleza;Masculino;34;NÃO INFORMADO
07/12/2021;Pedra Branca;Masculino;34;NÃO INFORMADO
08/12/2021;Iguatu;Masculino;31;NÃO INFORMADO
09/12/2021;Jaguaribe;Masculino;38;NÃO INFORMADO
10/12/2021;Iguatu;Masculino;26;NÃO INFORMADO
10/12/2021;Iguatu;Masculino;26;NÃO INFORMADO
10/12/2021;Guaraciaba do Norte;Masculino;46;NÃO INFORMADO
12/12/2021;Cruz;Masculino;32;CONJUGE/COMPANHEIRO
12/12/2021;Caucaia;Feminino;35;NÃO INFORMADO
15/12/2021;Russas;Masculino;32;NÃO INFORMADO
15/12/2021;Fortaleza;Masculino;49;NÃO INFORMADO
15/12/2021;Croatá;Masculino;28;NÃO INFORMADO
17/12/2021;Tianguá;Masculino;29;NÃO INFORMADO
18/12/2021;Viçosa do Ceará;Masculino;27;NÃO INFORMADO
18/12/2021;Ipueiras;Masculino;30;NÃO INFORMADO
19/12/2021;Acopiara;Masculino;21;NÃO INFORMADO
19/12/2021;Russas;Masculino;44;NÃO INFORMADO
20/12/2021;Tianguá;Masculino;30;NÃO INFORMADO
20/12/2021;Fortaleza;Masculino;44;NÃO INFORMADO
20/12/2021;Fortaleza;Feminino;36;NÃO INFORMADO
20/12/2021;Fortaleza;Feminino;36;NÃO INFORMADO
21/12/2021;Iguatu;Masculino;38;CONJUGE/COMPANHEIRO
21/12/2021;Coreaú;Masculino;33;CONJUGE/COMPANHEIRO
21/12/2021;Tianguá;Masculino;48;CONJUGE/COMPANHEIRO
23/12/2021;Cariús;Masculino;31;NÃO INFORMADO
24/12/2021;Cariré;Masculino;54;NÃO INFORMADO
24/12/2021;Caucaia;Feminino;47;NÃO INFORMADO
25/12/2021;Forquilha;Masculino;43;NÃO INFORMADO
25/12/2021;Maranguape;Masculino;47;NÃO INFORMADO
25/12/2021;Guaraciaba do Norte;Masculino;30;NÃO INFORMADO
25/12/2021;Aracati;Masculino;25;NÃO INFORMADO
25/12/2021;Mauriti;Masculino;33;NÃO INFORMADO
26/12/2021;Aquiraz;Masculino;Não Informada;NÃO INFORMADO
28/12/2021;Senador Pompeu;Masculino;41;CONJUGE/COMPANHEIRO
28/12/2021;Itapipoca;Feminino;63;NÃO INFORMADO
30/12/2021;Fortaleza;Masculino;27;NÃO INFORMADO
30/12/2021;Fortaleza;Masculino;36;NÃO INFORMADO
31/12/2021;Tianguá;Masculino;30;NÃO INFORMADO
01/01/2022;Tianguá;Masculino;27;OUTROS
01/01/2022;Jaguaribe;Masculino;46;NÃO INFORMADO
02/01/2022;Juazeiro do Norte;Masculino;27;OUTROS
03/01/2022;Tianguá;Masculino;26;NÃO INFORMADO
05/01/2022;São Benedito;Masculino;33;NÃO INFORMADO
06/01/2022;Sobral;Masculino;31;NÃO INFORMADO
08/01/2022;Fortaleza;Masculino;44;NÃO INFORMADO
09/01/2022;Jucás;Masculino;32;NÃO INFORMADO
09/01/2022;Milagres;Masculino;35;NÃO INFORMADO
09/01/2022;Granja;Masculino;31;NÃO INFORMADO
10/01/2022;Aracati;Feminino;37;NÃO INFORMADO
10/01/2022;Aracati;Feminino;37;NÃO INFORMADO
11/01/2022;Pereiro;Masculino;32;NÃO INFORMADO
11/01/2022;Fortaleza;Masculino;26;NÃO INFORMADO
11/01/2022;Fortaleza;Masculino;26;NÃO INFORMADO
11/01/2022;Fortaleza;Masculino;41;NÃO INFORMADO
14/01/2022;Fortaleza;Masculino;32;NÃO INFORMADO
14/01/2022;Juazeiro do Norte;Masculino;32;NÃO INFORMADO
15/01/2022;Crato;Feminino;25;NÃO INFORMADO
16/01/2022;Quixelô;Masculino;46;NÃO INFORMADO
19/01/2022;São Benedito;Masculino;41;NÃO INFORMADO
21/01/2022;Tianguá;Masculino;33;NÃO INFORMADO
22/01/2022;Tianguá;Masculino;36;NÃO INFORMADO
23/01/2022;Crato;Masculino;35;CONJUGE/COMPANHEIRO
24/01/2022;Fortaleza;Masculino;27;NÃO INFORMADO
24/01/2022;Fortaleza;Masculino;28;NÃO INFORMADO
27/01/2022;Iguatu;Masculino;27;NÃO INFORMADO
28/01/2022;Fortim;Masculino;35;OUTROS
28/01/2022;Fortaleza;Masculino;67;NÃO INFORMADO
28/01/2022;Fortaleza;Masculino;26;NÃO INFORMADO
30/01/2022;Tauá;Masculino;20;CONJUGE/COMPANHEIRO
31/01/2022;Nova Russas;Masculino;27;NÃO INFORMADO
31/01/2022;Viçosa do Ceará;Masculino;36;NÃO INFORMADO
31/01/2022;Crato;Masculino;22;NÃO INFORMADO
31/01/2022;Orós;Feminino;25;NÃO INFORMADO
01/02/2022;Guaraciaba do Norte;Masculino;24;NÃO INFORMADO
02/02/2022;Cariré;Masculino;37;NÃO INFORMADO
02/02/2022;Cariré;Masculino;76;NÃO INFORMADO
02/02/2022;Fortaleza;Masculino;49;NÃO INFORMADO
03/02/2022;Caucaia;Masculino;35;NÃO INFORMADO
04/02/2022;Cedro;Masculino;42;CONJUGE/COMPANHEIRO
05/02/2022;Tianguá;Masculino;40;NÃO INFORMADO
06/02/2022;Caucaia;Masculino;38;NÃO INFORMADO
06/02/2022;Caucaia;Masculino;38;NÃO INFORMADO
07/02/2022;Caucaia;Masculino;61;NÃO INFORMADO
07/02/2022;Alcântaras;Masculino;34;NÃO INFORMADO
08/02/2022;Fortaleza;Masculino;38;NÃO INFORMADO
09/02/2022;Maracanaú;Masculino;32;NÃO INFORMADO
11/02/2022;Mauriti;Masculino;31;NÃO INFORMADO
11/02/2022;Tianguá;Masculino;33;NÃO INFORMADO
12/02/2022;Farias Brito;Masculino;43;CONJUGE/COMPANHEIRO
13/02/2022;Sobral;Masculino;50;NÃO INFORMADO
14/02/2022;Fortaleza;Masculino;36;NÃO INFORMADO
17/02/2022;Juazeiro do Norte;Masculino;41;NÃO INFORMADO
18/02/2022;Fortaleza;Masculino;27;CONJUGE/COMPANHEIRO
19/02/2022;Russas;Masculino;30;CONJUGE/COMPANHEIRO
19/02/2022;Ibiapina;Masculino;35;NÃO INFORMADO
19/02/2022;Caucaia;Masculino;38;NÃO INFORMADO
19/02/2022;Viçosa do Ceará;Masculino;35;NÃO INFORMADO
20/02/2022;Caucaia;Masculino;54;NÃO INFORMADO
22/02/2022;Quixadá;Masculino;31;OUTROS
22/02/2022;Canindé;Masculino;56;CONJUGE/COMPANHEIRO
22/02/2022;Quixadá;Masculino;33;CONJUGE/COMPANHEIRO
22/02/2022;Fortaleza;Masculino;37;NÃO INFORMADO
22/02/2022;Fortaleza;Masculino;52;NÃO INFORMADO
22/02/2022;Jijoca de Jericoacoara;Masculino;28;NÃO INFORMADO
23/02/2022;Tianguá;Masculino;36;NÃO INFORMADO
24/02/2022;Fortaleza;Masculino;27;NÃO INFORMADO
24/02/2022;Guaraciaba do Norte;Masculino;19;NÃO INFORMADO
24/02/2022;Tianguá;Masculino;45;NÃO INFORMADO
25/02/2022;Cariré;Masculino;49;NÃO INFORMADO
28/02/2022;Ipu;Masculino;21;NÃO INFORMADO
01/03/2022;Itapipoca;Masculino;34;NÃO INFORMADO
01/03/2022;Itapipoca;Masculino;30;NÃO INFORMADO
01/03/2022;Cedro;Masculino;52;NÃO INFORMADO
02/03/2022;Granja;Masculino;42;NÃO INFORMADO
03/03/2022;Aracoiaba;Masculino;30;NÃO INFORMADO
