AIS,DATA,HORA,MUNICÍPIO,INDICIADO GÊNERO,INDICIADO IDADE,RELACIONAMENTO
AIS 14,2009-11-13,11:18:13,Cariré,Masculino,67,Não informado
AIS 04,2009-11-19,17:43:42,Fortaleza,Masculino,44,Não informado
AIS 21,2009-11-20,06:45:37,Iguatu,Masculino,36,Não informado
AIS 14,2009-11-21,09:42:46,Groaíras,Masculino,29,Não informado
AIS Não Identificada (Fortaleza),2009-11-24,10:00:00,Fortaleza,Masculino,40,Não informado
AIS 23,2009-11-25,13:59:56,Trairi,Masculino,21,Não informado
AIS 19,2009-11-28,19:23:41,Juazeiro do Norte,Masculino,29,Não informado
AIS 09,2009-12-02,14:10:14,Fortaleza,Masculino,41,Não informado
AIS 19,2009-12-04,16:56:25,Crato,Feminino,27,Não informado
AIS 03,2009-12-08,17:30:52,Fortaleza,Masculino,46,Não informado
AIS 03,2009-12-08,20:00:10,Fortaleza,Masculino,19,Não informado
AIS 06,2009-12-10,12:17:02,Fortaleza,Masculino,35,Não informado
AIS 06,2009-12-10,15:14:42,Fortaleza,Masculino,30,Não informado
AIS 14,2009-12-10,18:57:06,Sobral,Masculino,51,Não informado
AIS 02,2009-12-11,15:33:45,Fortaleza,Masculino,24,Não informado
AIS 07,2009-12-12,21:41:41,Fortaleza,Masculino,33,Não informado
AIS 12,2009-12-14,07:30:00,Maracanaú,Masculino,35,Não informado
AIS 14,2009-12-14,08:55:00,Groaíras,Masculino,42,Não informado
AIS 11,2009-12-14,09:25:04,Caucaia,Masculino,24,Não informado
AIS 02,2009-12-15,12:18:21,Fortaleza,Masculino,41,Não informado
AIS 05,2009-12-16,11:20:12,Fortaleza,Masculino,37,Não informado
AIS 05,2009-12-17,19:00:56,Fortaleza,Masculino,Não informado,OUTROS
AIS 07,2009-12-22,14:52:55,Fortaleza,Masculino,25,Não informado
AIS 17,2009-12-27,20:00:00,Acaraú,Masculino,20,Não informado
AIS 08,2009-12-28,09:30:17,Fortaleza,Masculino,33,Não informado
AIS 19,2009-12-28,16:37:08,Crato,Masculino,23,Não informado
AIS 20,2009-12-30,09:00:00,Milhã,Masculino,56,Não informado
AIS 07,2009-12-30,16:42:54,Fortaleza,Masculino,41,Não informado
AIS 23,2010-01-03,14:00:27,São Gonçalo do Amarante,Masculino,44,Não informado
AIS 09,2010-01-05,15:29:15,Fortaleza,Masculino,26,Não informado
AIS 24,2010-01-05,17:00:39,Pacatuba,Masculino,58,Não informado
AIS 08,2010-01-07,13:54:00,Fortaleza,Masculino,22,Não informado
AIS 06,2010-01-08,13:48:27,Fortaleza,Masculino,70,Não informado
AIS 19,2010-01-08,22:20:33,Assaré,Masculino,20,Não informado
AIS 01,2010-01-09,15:00:00,Fortaleza,Masculino,51,Não informado
AIS 14,2010-01-10,09:46:39,Frecheirinha,Masculino,33,Não informado
AIS 11,2010-01-11,10:08:48,Caucaia,Masculino,39,Não informado
AIS 21,2010-01-12,08:00:00,Lavras da Mangabeira,Masculino,37,Não informado
AIS 03,2010-01-12,14:48:26,Fortaleza,Masculino,15,Não informado
AIS 09,2010-01-18,13:30:52,Fortaleza,Masculino,60,Não informado
AIS 07,2010-01-19,08:00:00,Fortaleza,Masculino,19,Não informado
AIS 03,2010-01-19,08:09:43,Fortaleza,Masculino,52,Não informado
AIS 24,2010-01-20,18:00:17,Maranguape,Masculino,37,Não informado
AIS 07,2010-01-21,21:30:00,Fortaleza,Masculino,25,Não informado
AIS 21,2010-01-25,03:00:49,Cedro,Masculino,29,Não informado
AIS Não Identificada (Fortaleza),2010-01-25,08:48:35,Fortaleza,Masculino,19,Não informado
AIS 17,2010-01-26,15:24:55,Acaraú,Masculino,31,Não informado
AIS 14,2010-01-26,22:00:00,Sobral,Masculino,24,Não informado
AIS 02,2010-01-29,11:32:53,Fortaleza,Masculino,36,Não informado
AIS 25,2010-02-01,09:43:35,Horizonte,Masculino,Não informado,Não informado
AIS 06,2010-02-01,16:23:00,Fortaleza,Masculino,37,Não informado
AIS 21,2010-02-03,14:00:09,Várzea Alegre,Masculino,49,Não informado
AIS Não Identificada (Fortaleza),2010-02-03,14:41:42,Fortaleza,Masculino,28,Não informado
AIS 02,2010-02-03,17:40:00,Fortaleza,Masculino,24,Não informado
AIS 14,2010-02-04,00:00:00,Coreaú,Masculino,18,Não informado
AIS 10,2010-02-08,17:00:10,Fortaleza,Masculino,25,Não informado
AIS 20,2010-02-15,22:02:33,Ibicuitinga,Masculino,32,Não informado
AIS 21,2010-02-16,11:57:26,Várzea Alegre,Masculino,41,Não informado
AIS 03,2010-02-18,22:00:00,Fortaleza,Masculino,17,Não informado
AIS 02,2010-02-19,13:00:43,Fortaleza,Masculino,28,Não informado
AIS 05,2010-02-19,14:31:09,Fortaleza,Masculino,24,Não informado
AIS 19,2010-02-19,16:00:00,Crato,Masculino,45,Não informado
AIS 21,2010-02-22,22:23:19,Várzea Alegre,Masculino,60,Não informado
AIS 24,2010-02-23,16:00:21,Maranguape,Masculino,39,PADRASTO
AIS 03,2010-02-23,16:25:07,Fortaleza,Masculino,29,Não informado
AIS 07,2010-02-23,20:00:00,Fortaleza,Masculino,49,Não informado
AIS 09,2010-02-24,11:30:00,Fortaleza,Masculino,58,Não informado
AIS 19,2010-02-24,15:28:04,Potengi,Masculino,55,Não informado
AIS 07,2010-02-24,16:00:00,Fortaleza,Masculino,49,Não informado
AIS 08,2010-02-26,22:30:12,Fortaleza,Masculino,17,Não informado
AIS 02,2010-02-28,11:02:52,Fortaleza,Masculino,38,Não informado
AIS 08,2010-02-28,13:25:01,Fortaleza,Masculino,49,Não informado
AIS 21,2010-02-28,18:00:00,Cedro,Masculino,34,Não informado
AIS 19,2010-03-02,08:30:58,Crato,Masculino,24,Não informado
AIS 12,2010-03-03,19:30:00,Maracanaú,Masculino,27,Não informado
AIS 08,2010-03-04,02:00:08,Fortaleza,Masculino,57,Não informado
AIS 20,2010-03-04,09:00:02,Ibicuitinga,Masculino,27,Não informado
AIS 03,2010-03-04,18:52:54,Fortaleza,Masculino,21,Não informado
AIS 07,2010-03-06,09:00:00,Fortaleza,Masculino,31,Não informado
AIS 09,2010-03-06,15:30:00,Fortaleza,Masculino,35,Não informado
AIS 10,2010-03-08,09:00:35,Fortaleza,Masculino,60,Não informado
AIS 07,2010-03-09,15:59:34,Fortaleza,Feminino,22,Não informado
AIS 15,2010-03-12,13:01:29,Pacoti,Masculino,20,Não informado
AIS 05,2010-03-13,07:30:30,Fortaleza,Masculino,22,Não informado
AIS 01,2010-03-14,00:00:13,Fortaleza,Masculino,46,Não informado
AIS 07,2010-03-14,11:30:07,Fortaleza,Masculino,46,Não informado
AIS 06,2010-03-17,10:25:36,Fortaleza,Masculino,48,Não informado
AIS 06,2010-03-18,13:30:00,Fortaleza,Masculino,16,Não informado
AIS 08,2010-03-19,16:00:31,Fortaleza,Masculino,39,Não informado
AIS 09,2010-03-25,15:00:00,Fortaleza,Masculino,42,Não informado
AIS 13,2010-03-27,02:20:00,Eusébio,Masculino,31,Não informado
AIS 12,2010-03-28,16:30:03,Maracanaú,Masculino,53,Não informado
AIS 02,2010-03-31,20:30:00,Fortaleza,Masculino,40,Não informado
AIS 19,2010-04-01,20:46:20,Assaré,Masculino,24,Não informado
AIS 11,2010-04-02,09:29:23,Caucaia,Masculino,23,Não informado
AIS 14,2010-04-02,23:00:05,Sobral,Masculino,21,Não informado
AIS 07,2010-04-03,19:30:40,Fortaleza,Masculino,19,Não informado
AIS 14,2010-04-04,12:00:00,Mucambo,Masculino,66,Não informado
AIS 08,2010-04-05,10:02:39,Fortaleza,Masculino,42,Não informado
AIS 03,2010-04-06,12:39:23,Fortaleza,Masculino,30,Não informado
AIS 24,2010-04-06,14:00:00,Pacatuba,Masculino,56,Não informado
AIS 19,2010-04-07,14:16:37,Crato,Masculino,25,Não informado
AIS 10,2010-04-09,10:35:25,Fortaleza,Masculino,66,Não informado
AIS 09,2010-04-10,09:23:27,Fortaleza,Masculino,30,Não informado
AIS 04,2010-04-14,14:00:20,Fortaleza,Masculino,Não informado,Não informado
AIS 04,2010-04-14,17:30:15,Fortaleza,Masculino,29,Não informado
AIS 17,2010-04-15,16:30:33,Itapipoca,Masculino,25,Não informado
AIS 07,2010-04-16,17:00:34,Fortaleza,Masculino,60,Não informado
AIS 15,2010-04-17,09:00:00,Madalena,Masculino,81,Não informado
AIS 14,2010-04-18,15:00:00,Granja,Masculino,55,Não informado
AIS 02,2010-04-19,10:26:44,Fortaleza,Masculino,45,Não informado
AIS 02,2010-04-19,11:00:00,Fortaleza,Masculino,41,Não informado
AIS 07,2010-04-19,17:37:37,Fortaleza,Masculino,15,Não informado
AIS 12,2010-04-20,15:44:37,Maracanaú,Masculino,52,Não informado
AIS 20,2010-04-21,00:30:00,Milhã,Masculino,19,Não informado
AIS 04,2010-04-23,11:12:00,Fortaleza,Masculino,57,Não informado
AIS 04,2010-04-24,11:50:48,Fortaleza,Masculino,34,Não informado
AIS 23,2010-04-25,22:30:00,Trairi,Masculino,28,Não informado
AIS Não Identificada (Fortaleza),2010-04-26,19:30:00,Fortaleza,Masculino,26,Não informado
AIS 17,2010-04-26,21:30:00,Acaraú,Masculino,18,Não informado
AIS 08,2010-04-30,10:00:06,Fortaleza,Masculino,46,Não informado
AIS 19,2010-04-30,14:53:20,Santana do Cariri,Masculino,20,Não informado
AIS 03,2010-04-30,17:15:06,Fortaleza,Masculino,40,Não informado
AIS 14,2010-05-01,10:54:00,Pacujá,Masculino,80,Não informado
AIS 09,2010-05-03,04:00:22,Fortaleza,Masculino,46,Não informado
AIS 20,2010-05-03,12:09:04,Senador Pompeu,Masculino,48,Não informado
AIS 10,2010-05-04,20:00:24,Fortaleza,Masculino,45,Não informado
AIS 09,2010-05-05,19:00:00,Fortaleza,Masculino,49,Não informado
AIS Não Identificada (Fortaleza),2010-05-08,21:29:31,Fortaleza,Masculino,34,Não informado
AIS 12,2010-05-09,08:00:00,Maracanaú,Masculino,42,Não informado
AIS 21,2010-05-11,11:21:50,Icó,Masculino,40,Não informado
AIS 11,2010-05-11,14:00:00,Caucaia,Masculino,54,Não informado
AIS 15,2010-05-11,15:00:00,Canindé,Masculino,25,Não informado
AIS 16,2010-05-12,21:00:00,Varjota,Masculino,30,Não informado
AIS 22,2010-05-13,10:00:00,Piquet Carneiro,Masculino,38,Não informado
AIS 06,2010-05-13,17:40:00,Fortaleza,Masculino,40,Não informado
AIS 23,2010-05-14,19:00:00,Trairi,Feminino,62,Não informado
AIS 03,2010-05-15,20:00:00,Fortaleza,Masculino,64,Não informado
AIS 18,2010-05-16,14:30:00,Pereiro,Feminino,52,Não informado
AIS 08,2010-05-16,21:30:43,Fortaleza,Masculino,57,Não informado
AIS 07,2010-05-20,16:30:00,Fortaleza,Masculino,59,Não informado
AIS 01,2010-05-21,10:16:33,Fortaleza,Masculino,16,Não informado
AIS 19,2010-05-25,21:40:36,Crato,Masculino,26,Não informado
AIS 09,2010-05-27,13:56:37,Fortaleza,Feminino,20,Não informado
AIS 20,2010-05-28,10:18:49,Senador Pompeu,Masculino,54,Não informado
AIS 06,2010-05-28,10:40:00,Fortaleza,Masculino,47,Não informado
AIS 23,2010-05-29,08:00:00,Trairi,Masculino,25,Não informado
AIS 11,2010-05-29,10:40:59,Caucaia,Masculino,29,Não informado
AIS 03,2010-05-30,11:46:11,Fortaleza,Feminino,31,Não informado
AIS 17,2010-05-30,18:30:00,Itarema,Masculino,35,Não informado
AIS 14,2010-05-31,21:00:00,Sobral,Masculino,28,Não informado
AIS 11,2010-06-01,14:00:00,Caucaia,Masculino,44,Não informado
AIS 02,2010-06-02,23:00:36,Fortaleza,Masculino,14,Não informado
AIS 14,2010-06-04,14:30:00,Sobral,Masculino,19,Não informado
AIS 15,2010-06-05,10:00:00,Acarape,Masculino,20,Não informado
AIS 11,2010-06-06,09:30:00,Caucaia,Masculino,29,Não informado
AIS 19,2010-06-09,18:15:00,Juazeiro do Norte,Masculino,66,Não informado
AIS 18,2010-06-10,10:00:00,Ereré,Masculino,22,Não informado
AIS 13,2010-06-11,09:30:00,Aquiraz,Masculino,43,Não informado
AIS 10,2010-06-13,23:50:53,Fortaleza,Masculino,29,Não informado
AIS 07,2010-06-14,08:00:00,Fortaleza,Masculino,31,Não informado
AIS 19,2010-06-14,12:10:40,Santana do Cariri,Masculino,75,Não informado
AIS 21,2010-06-17,09:53:09,Jucás,Masculino,50,Não informado
AIS 24,2010-06-17,19:15:17,Guaiúba,Masculino,46,Não informado
AIS 06,2010-06-19,14:00:00,Fortaleza,Masculino,14,Não informado
AIS 19,2010-06-19,19:00:00,Juazeiro do Norte,Masculino,34,OUTROS
AIS 24,2010-06-19,19:00:27,Pacatuba,Masculino,28,Não informado
AIS 24,2010-06-23,08:00:00,Pacatuba,Masculino,44,Não informado
AIS 06,2010-06-23,20:30:00,Fortaleza,Masculino,51,Não informado
AIS 21,2010-06-26,09:05:19,Orós,Masculino,46,Não informado
AIS 09,2010-06-27,14:00:39,Fortaleza,Masculino,20,Não informado
AIS 05,2010-06-27,15:51:40,Fortaleza,Feminino,40,Não informado
AIS 11,2010-06-27,16:00:00,Caucaia,Masculino,44,Não informado
AIS 05,2010-06-27,23:00:00,Fortaleza,Masculino,29,Não informado
AIS 20,2010-06-28,14:06:32,Solonópole,Masculino,76,Não informado
AIS 14,2010-06-29,19:00:00,Cariré,Masculino,33,Não informado
AIS 08,2010-06-30,15:00:00,Fortaleza,Masculino,35,Não informado
AIS 21,2010-06-30,19:00:00,Icó,Masculino,40,Não informado
AIS 19,2010-07-01,13:12:59,Crato,Masculino,35,Não informado
AIS 06,2010-07-01,15:03:51,Fortaleza,Masculino,21,Não informado
AIS 10,2010-07-04,12:00:28,Fortaleza,Masculino,15,Não informado
AIS 02,2010-07-04,13:00:00,Fortaleza,Masculino,29,Não informado
AIS 23,2010-07-05,15:00:00,Trairi,Masculino,54,Não informado
AIS 11,2010-07-10,18:50:00,Caucaia,Masculino,34,Não informado
AIS 05,2010-07-11,19:00:00,Fortaleza,Masculino,26,Não informado
AIS 03,2010-07-12,10:10:02,Fortaleza,Masculino,45,Não informado
AIS 17,2010-07-12,12:00:00,Itapipoca,Masculino,31,Não informado
AIS 15,2010-07-15,02:00:00,Canindé,Masculino,21,Não informado
AIS 02,2010-07-15,19:00:00,Fortaleza,Masculino,47,Não informado
AIS 05,2010-07-16,15:11:57,Fortaleza,Feminino,25,Não informado
AIS 02,2010-07-16,18:20:00,Fortaleza,Masculino,70,Não informado
AIS 01,2010-07-16,18:20:15,Fortaleza,Masculino,14,Não informado
AIS 15,2010-07-18,01:00:54,Guaramiranga,Não identificado,31,Não informado
AIS 06,2010-07-19,13:56:12,Fortaleza,Masculino,16,Não informado
AIS 13,2010-07-20,09:05:59,Eusébio,Masculino,23,Não informado
AIS 12,2010-07-20,15:41:45,Maracanaú,Masculino,20,Não informado
AIS 09,2010-07-20,17:00:21,Fortaleza,Masculino,13,Não informado
AIS 21,2010-07-21,17:00:18,Várzea Alegre,Masculino,45,Não informado
AIS 12,2010-07-22,10:01:42,Maracanaú,Masculino,30,Não informado
AIS 01,2010-07-22,15:31:10,Fortaleza,Masculino,13,Não informado
AIS 02,2010-07-22,16:40:27,Fortaleza,Masculino,39,Não informado
AIS 07,2010-07-22,17:28:32,Fortaleza,Masculino,47,Não informado
AIS 07,2010-07-23,14:24:09,Fortaleza,Masculino,16,Não informado
AIS 21,2010-07-24,11:16:00,Baixio,Masculino,37,Não informado
AIS 05,2010-07-25,02:00:31,Fortaleza,Masculino,51,Não informado
AIS 11,2010-07-28,08:19:06,Caucaia,Masculino,61,Não informado
AIS 14,2010-07-28,14:34:36,Frecheirinha,Masculino,26,Não informado
AIS 04,2010-07-31,20:00:00,Fortaleza,Masculino,52,Não informado
AIS 02,2010-08-02,16:31:25,Fortaleza,Masculino,23,Não informado
AIS 13,2010-08-02,21:15:21,Aquiraz,Masculino,34,Não informado
AIS 11,2010-08-03,09:00:00,Caucaia,Masculino,47,Não informado
AIS 06,2010-08-03,15:41:27,Fortaleza,Masculino,26,Não informado
AIS 01,2010-08-04,08:56:15,Fortaleza,Não identificado,68,Não informado
AIS 02,2010-08-05,16:35:05,Fortaleza,Masculino,38,Não informado
AIS Não Identificada (Fortaleza),2010-08-06,12:22:19,Fortaleza,Masculino,39,Não informado
AIS 14,2010-08-06,22:00:00,Sobral,Masculino,19,Não informado
AIS 12,2010-08-07,16:00:45,Maracanaú,Masculino,28,Não informado
AIS 18,2010-08-07,23:00:00,Alto Santo,Masculino,66,Não informado
AIS 11,2010-08-08,00:03:28,Caucaia,Masculino,31,Não informado
AIS Não Identificada (Fortaleza),2010-08-09,12:16:37,Fortaleza,Masculino,44,Não informado
AIS 02,2010-08-11,17:00:00,Fortaleza,Masculino,12,Não informado
AIS 08,2010-08-12,02:27:42,Fortaleza,Masculino,31,Não informado
AIS 07,2010-08-12,12:43:15,Fortaleza,Masculino,17,Não informado
AIS 06,2010-08-13,11:37:43,Fortaleza,Masculino,31,Não informado
AIS 21,2010-08-15,11:48:47,Cedro,Masculino,33,Não informado
AIS 09,2010-08-17,09:33:29,Fortaleza,Masculino,40,Não informado
AIS 03,2010-08-20,19:00:00,Fortaleza,Masculino,18,Não informado
AIS 18,2010-08-22,10:30:00,Aracati,Masculino,73,Não informado
AIS 10,2010-08-22,21:30:51,Fortaleza,Masculino,22,Não informado
AIS 07,2010-08-25,12:00:38,Fortaleza,Masculino,38,Não informado
AIS 13,2010-08-26,15:00:00,Eusébio,Masculino,39,Não informado
AIS 02,2010-08-29,09:08:30,Fortaleza,Masculino,15,Não informado
AIS 24,2010-08-29,16:30:45,Maranguape,Masculino,50,Não informado
AIS 11,2010-08-30,19:00:00,Caucaia,Masculino,43,Não informado
AIS 11,2010-09-01,09:45:31,Caucaia,Masculino,29,Não informado
AIS 19,2010-09-04,12:00:00,Assaré,Masculino,39,Não informado
AIS 06,2010-09-06,22:40:00,Fortaleza,Masculino,12,Não informado
AIS 02,2010-09-08,10:05:13,Fortaleza,Masculino,75,Não informado
AIS 12,2010-09-09,06:40:00,Maracanaú,Masculino,31,Não informado
AIS 07,2010-09-09,12:07:03,Fortaleza,Feminino,49,Não informado
AIS 14,2010-09-10,22:00:00,Santana do Acaraú,Masculino,38,Não informado
AIS 25,2010-09-11,15:54:16,Horizonte,Masculino,19,Não informado
AIS 02,2010-09-11,16:49:59,Fortaleza,Feminino,39,Não informado
AIS 21,2010-09-12,14:16:04,Saboeiro,Masculino,26,Não informado
AIS 19,2010-09-12,18:30:00,Jardim,Masculino,43,Não informado
AIS 03,2010-09-13,12:00:00,Fortaleza,Masculino,39,Não informado
AIS 01,2010-09-13,15:27:34,Fortaleza,Masculino,62,Não informado
AIS Não Identificada (Fortaleza),2010-09-13,16:58:35,Fortaleza,Masculino,27,Não informado
AIS 06,2010-09-15,15:42:58,Fortaleza,Masculino,51,Não informado
AIS 04,2010-09-15,20:09:50,Fortaleza,Feminino,18,Não informado
AIS 14,2010-09-17,00:40:00,Mucambo,Masculino,20,Não informado
AIS 02,2010-09-17,14:44:13,Fortaleza,Masculino,75,Não informado
AIS 25,2010-09-18,11:00:00,Pacajus,Masculino,40,Não informado
AIS 08,2010-09-19,10:19:43,Fortaleza,Masculino,15,Não informado
AIS 03,2010-09-20,10:00:25,Fortaleza,Masculino,16,Não informado
AIS 10,2010-09-21,12:24:28,Fortaleza,Masculino,29,Não informado
AIS 16,2010-09-21,13:32:26,Varjota,Masculino,32,Não informado
AIS 19,2010-09-23,08:43:16,Assaré,Masculino,20,Não informado
AIS 09,2010-09-29,10:04:34,Fortaleza,Masculino,34,Não informado
AIS 05,2010-09-30,11:04:15,Fortaleza,Masculino,31,Não informado
AIS Não Identificada (Fortaleza),2010-09-30,15:00:00,Fortaleza,Masculino,16,Não informado
AIS 15,2010-10-01,15:13:57,Caridade,Masculino,58,Não informado
AIS 19,2010-10-06,15:03:08,Assaré,Masculino,54,Não informado
AIS 17,2010-10-06,17:49:50,Acaraú,Masculino,86,Não informado
AIS 18,2010-10-08,10:00:00,Itaiçaba,Masculino,19,Não informado
AIS 19,2010-10-10,12:15:43,Crato,Masculino,44,Não informado
AIS 07,2010-10-13,17:35:36,Fortaleza,Masculino,16,Não informado
AIS 03,2010-10-14,09:00:51,Fortaleza,Feminino,42,Não informado
AIS 06,2010-10-15,15:17:16,Fortaleza,Masculino,33,Não informado
AIS 21,2010-10-18,12:00:00,Ipaumirim,Masculino,43,Não informado
AIS 19,2010-10-20,09:54:51,Crato,Masculino,20,Não informado
AIS 02,2010-10-22,08:41:21,Fortaleza,Masculino,32,Não informado
AIS 02,2010-10-22,18:00:00,Fortaleza,Masculino,18,Não informado
AIS 12,2010-10-23,13:50:00,Maracanaú,Masculino,82,Não informado
AIS 08,2010-10-25,11:40:14,Fortaleza,Masculino,39,Não informado
AIS 07,2010-10-26,13:12:37,Fortaleza,Masculino,12,Não informado
AIS 03,2010-10-28,14:57:21,Fortaleza,Masculino,57,Não informado
AIS 08,2010-11-01,22:30:36,Fortaleza,Masculino,43,Não informado
AIS 07,2010-11-01,23:40:00,Fortaleza,Masculino,26,Não informado
AIS 03,2010-11-03,08:19:30,Fortaleza,Masculino,43,Não informado
AIS 13,2010-11-04,13:30:07,Cascavel,Masculino,55,Não informado
AIS 23,2010-11-07,22:00:00,Trairi,Masculino,30,Não informado
AIS 19,2010-11-10,14:04:20,Juazeiro do Norte,Masculino,20,Não informado
AIS 21,2010-11-12,12:00:00,Baixio,Masculino,38,Não informado
AIS 24,2010-11-13,20:55:56,Pacatuba,Masculino,19,Não informado
AIS 11,2010-11-15,15:00:00,Caucaia,Masculino,34,Não informado
AIS 19,2010-11-16,16:00:31,Crato,Masculino,29,Não informado
AIS 24,2010-11-16,20:26:40,Pacatuba,Masculino,63,Não informado
AIS 08,2010-11-17,09:56:53,Fortaleza,Masculino,13,Não informado
AIS 24,2010-11-19,09:00:00,Pacatuba,Masculino,24,Não informado
AIS 09,2010-11-20,09:30:55,Fortaleza,Masculino,26,Não informado
AIS 03,2010-11-20,20:20:24,Fortaleza,Masculino,13,Não informado
AIS 05,2010-11-21,10:30:00,Fortaleza,Masculino,14,Não informado
AIS 05,2010-11-21,12:00:25,Fortaleza,Masculino,51,Não informado
AIS 06,2010-11-24,10:20:34,Fortaleza,Masculino,38,Não informado
AIS 07,2010-11-26,07:30:52,Fortaleza,Masculino,33,Não informado
AIS 14,2010-11-26,22:00:00,Sobral,Masculino,18,Não informado
AIS 06,2010-11-27,16:00:00,Fortaleza,Masculino,59,Não informado
AIS 08,2010-11-29,11:39:29,Fortaleza,Masculino,21,Não informado
AIS 06,2010-11-29,14:06:59,Fortaleza,Masculino,17,Não informado
AIS 20,2010-11-30,11:34:58,Senador Pompeu,Masculino,26,Não informado
AIS 03,2010-12-01,00:00:23,Fortaleza,Masculino,34,Não informado
AIS 06,2010-12-01,15:11:06,Fortaleza,Masculino,46,Não informado
AIS 12,2010-12-03,04:30:00,Maracanaú,Masculino,35,Não informado
AIS 02,2010-12-03,08:00:00,Fortaleza,Masculino,22,Não informado
AIS 03,2010-12-05,18:00:31,Fortaleza,Masculino,12,Não informado
AIS 11,2010-12-06,16:00:43,Caucaia,Masculino,39,Não informado
AIS 14,2010-12-07,08:26:02,Sobral,Masculino,51,Não informado
AIS 09,2010-12-09,14:14:40,Fortaleza,Masculino,23,Não informado
AIS 03,2010-12-09,21:00:00,Fortaleza,Masculino,16,Não informado
AIS 21,2010-12-10,12:52:12,Várzea Alegre,Masculino,68,Não informado
AIS 08,2010-12-10,14:09:14,Fortaleza,Masculino,19,Não informado
AIS 11,2010-12-10,23:30:30,Caucaia,Masculino,17,Não informado
AIS 20,2010-12-11,22:00:00,Pedra Branca,Masculino,23,Não informado
AIS 19,2010-12-12,12:30:34,Campos Sales,Masculino,25,Não informado
AIS 05,2010-12-15,09:00:00,Fortaleza,Masculino,27,Não informado
AIS 05,2010-12-15,12:09:28,Fortaleza,Masculino,17,Não informado
AIS 18,2010-12-15,23:00:00,Russas,Masculino,31,Não informado
AIS 01,2010-12-16,23:00:00,Fortaleza,Masculino,50,Não informado
AIS 19,2010-12-16,23:02:08,Jardim,Masculino,68,Não informado
